check,expected,observed,support,opposition,steps,seed,collapse_threshold
reference_horizon_seed,oscillation,oscillation,2.0,12.0,600,151,0.1
reference_horizon_seed,oscillation,oscillation,2.0,12.0,600,211,0.1
reference_horizon_seed,oscillation,oscillation,2.0,12.0,1200,7,0.1
reference_horizon_seed,oscillation,oscillation,2.0,12.0,1200,19,0.1
reference_horizon_seed,oscillation,oscillation,2.0,12.0,1200,41,0.1
reference_horizon_seed,oscillation,oscillation,2.0,12.0,1200,73,0.1
reference_horizon_seed,oscillation,oscillation,2.0,12.0,1200,101,0.1
reference_horizon_seed,oscillation,oscillation,2.0,12.0,1200,151,0.1
reference_horizon_seed,oscillation,oscillation,2.0,12.0,1200,211,0.1
collapse_threshold,collapse,collapse,-4.0,4.0,600,7,0.075
collapse_threshold,collapse,collapse,-4.0,4.0,600,19,0.075
collapse_threshold,collapse,collapse,-4.0,4.0,600,41,0.075
collapse_threshold,collapse,collapse,-4.0,4.0,600,73,0.075
collapse_threshold,collapse,collapse,-4.0,4.0,600,101,0.075
collapse_threshold,collapse,collapse,-4.0,4.0,600,151,0.075
collapse_threshold,collapse,collapse,-4.0,4.0,600,211,0.075
collapse_threshold,collapse,collapse,-4.0,4.0,600,7,0.1
collapse_threshold,collapse,collapse,-4.0,4.0,600,19,0.1
collapse_threshold,collapse,collapse,-4.0,4.0,600,41,0.1
collapse_threshold,collapse,collapse,-4.0,4.0,600,73,0.1
collapse_threshold,collapse,collapse,-4.0,4.0,600,101,0.1
collapse_threshold,collapse,collapse,-4.0,4.0,600,151,0.1
collapse_threshold,collapse,collapse,-4.0,4.0,600,211,0.1
collapse_threshold,collapse,collapse,-4.0,4.0,600,7,0.125
collapse_threshold,collapse,collapse,-4.0,4.0,600,19,0.125
collapse_threshold,collapse,collapse,-4.0,4.0,600,41,0.125
collapse_threshold,collapse,collapse,-4.0,4.0,600,73,0.125
collapse_threshold,collapse,collapse,-4.0,4.0,600,101,0.125
collapse_threshold,collapse,collapse,-4.0,4.0,600,151,0.125
collapse_threshold,collapse,collapse,-4.0,4.0,600,211,0.125
uncoupled_ablation,collapse_or_equilibrium,collapse,-4.0,2.0,600,7,0.1
uncoupled_ablation,collapse_or_equilibrium,collapse,-4.0,2.0,600,19,0.1
uncoupled_ablation,collapse_or_equilibrium,collapse,-4.0,2.0,600,41,0.1
uncoupled_ablation,collapse_or_equilibrium,collapse,-4.0,2.0,600,73,0.1
uncoupled_ablation,collapse_or_equilibrium,collapse,-4.0,2.0,600,101,0.1
uncoupled_ablation,collapse_or_equilibrium,collapse,-4.0,2.0,600,151,0.1
uncoupled_ablation,collapse_or_equilibrium,collapse,-4.0,2.0,600,211,0.1
uncoupled_ablation,collapse_or_equilibrium,equilibrium,-2.0,2.0,600,7,0.1
uncoupled_ablation,collapse_or_equilibrium,equilibrium,-2.0,2.0,600,19,0.1
uncoupled_ablation,collapse_or_equilibrium,equilibrium,-2.0,2.0,600,41,0.1
uncoupled_ablation,collapse_or_equilibrium,equilibrium,-2.0,2.0,600,73,0.1
uncoupled_ablation,collapse_or_equilibrium,equilibrium,-2.0,2.0,600,101,0.1
uncoupled_ablation,collapse_or_equilibrium,equilibrium,-2.0,2.0,600,151,0.1
uncoupled_ablation,collapse_or_equilibrium,equilibrium,-2.0,2.0,600,211,0.1
uncoupled_ablation,collapse_or_equilibrium,equilibrium,0.0,2.0,600,7,0.1
uncoupled_ablation,collapse_or_equilibrium,equilibrium,0.0,2.0,600,19,0.1
uncoupled_ablation,collapse_or_equilibrium,equilibrium,0.0,2.0,600,41,0.1
uncoupled_ablation,collapse_or_equilibrium,equilibrium,0.0,2.0,600,73,0.1
uncoupled_ablation,collapse_or_equilibrium,equilibrium,0.0,2.0,600,101,0.1
uncoupled_ablation,collapse_or_equilibrium,equilibrium,0.0,2.0,600,151,0.1
uncoupled_ablation,collapse_or_equilibrium,equilibrium,0.0,2.0,600,211,0.1
uncoupled_ablation,collapse_or_equilibrium,equilibrium,2.0,2.0,600,7,0.1
uncoupled_ablation,collapse_or_equilibrium,equilibrium,2.0,2.0,600,19,0.1
uncoupled_ablation,collapse_or_equilibrium,equilibrium,2.0,2.0,600,41,0.1
uncoupled_ablation,collapse_or_equilibrium,equilibrium,2.0,2.0,600,73,0.1
uncoupled_ablation,collapse_or_equilibrium,equilibrium,2.0,2.0,600,101,0.1
uncoupled_ablation,collapse_or_equilibrium,equilibrium,2.0,2.0,600,151,0.1
uncoupled_ablation,collapse_or_equilibrium,equilibrium,2.0,2.0,600,211,0.1
