support,opposition,modal_regime,seed_disagreement,symmetric_fixed_point,lambda_symmetric,lambda_antisymmetric,symmetric_fixed_stable,n_collapse,n_equilibrium,n_lock_in,n_oscillation,n_unresolved,regime_transition_candidate,bifurcation_candidate
0.25,3.25,equilibrium,False,0.6816169725,0.1627614565,0.7052996447,True,0,7,0,0,0,False,False
0.25,3.5,equilibrium,False,0.6386018518,0.1153947633,0.8077633434,True,0,7,0,0,0,False,False
0.25,3.75,equilibrium,False,0.5986037938,0.0600693230,0.9010398444,True,0,7,0,0,0,False,False
0.25,4.0,equilibrium,True,0.5621765009,0.0000000000,0.9845363310,True,0,6,0,0,1,True,True
0.25,4.25,lock-in,False,0.5293798743,-0.0622842057,1.0588314977,False,0,0,7,0,0,True,True
0.25,4.5,lock-in,False,0.5000000000,-0.1250000000,1.1250000000,False,0,0,7,0,0,False,False
0.25,4.75,lock-in,False,0.4737046591,-0.1869814163,1.1842156365,False,0,0,7,0,0,False,False
0.25,5.0,lock-in,False,0.4501330667,-0.2475132890,1.2375664448,False,0,0,7,0,0,False,False
0.25,5.25,lock-in,False,0.4289404189,-0.3061881699,1.2859903137,False,0,0,7,0,0,False,False
0.25,5.5,lock-in,False,0.4098163681,-0.3628003688,1.3302680190,False,0,0,7,0,0,False,False
0.25,5.75,lock-in,False,0.3924900129,-0.4172728047,1.3710392154,False,0,0,7,0,0,False,False
0.25,6.0,lock-in,False,0.3767285718,-0.4696083100,1.4088249300,False,0,0,7,0,0,False,False
0.25,6.25,lock-in,False,0.3623334979,-0.5198578519,1.4440495887,False,0,0,7,0,0,False,False
0.25,6.5,lock-in,False,0.3491358812,-0.5681000441,1.4770601147,False,0,0,7,0,0,False,False
0.25,6.75,lock-in,False,0.3369919814,-0.6144280611,1.5081416045,False,0,0,7,0,0,False,False
0.25,7.0,lock-in,False,0.3257792268,-0.6589413666,1.5375298553,False,0,0,7,0,0,False,False
0.25,7.25,lock-in,False,0.3153927742,-0.7017405596,1.5654212484,False,0,0,7,0,0,False,False
0.25,7.5,lock-in,False,0.3057426138,-0.7429242377,1.5919805094,False,0,0,7,0,0,False,False
0.25,7.75,lock-in,False,0.2967511606,-0.7825871599,1.6173467970,False,0,0,7,0,0,False,False
0.25,8.0,lock-in,False,0.2883512619,-0.8208192467,1.6416384934,False,0,0,7,0,0,False,False
0.25,8.25,lock-in,False,0.2804845520,-0.8577051144,1.6649569868,False,0,0,7,0,0,False,False
0.25,8.5,lock-in,False,0.2731000931,-0.8933239451,1.6873896741,False,0,0,7,0,0,False,False
0.25,8.75,lock-in,False,0.2661532511,-0.9277495657,1.7090123579,False,0,0,7,0,0,False,False
0.25,9.0,lock-in,False,0.2596047631,-0.9610506503,1.7298911705,False,0,0,7,0,0,False,False
0.25,9.25,lock-in,False,0.2534199608,-0.9932909923,1.7500841293,False,0,0,7,0,0,False,False
0.25,9.5,lock-in,False,0.2475681229,-1.0245298107,1.7696424004,False,0,0,7,0,0,False,False
0.25,9.75,lock-in,False,0.2420219313,-1.0548220674,1.7886113316,False,0,0,7,0,0,False,False
0.25,10.0,lock-in,False,0.2367570140,-1.0842187820,1.8070313033,False,0,0,7,0,0,False,False
0.25,10.25,lock-in,False,0.2317515587,-1.1127673359,1.8249384309,False,0,0,7,0,0,False,False
0.25,10.5,lock-in,False,0.2269859851,-1.1405117598,1.8423651505,False,0,0,7,0,0,False,False
0.25,10.75,lock-in,False,0.2224426660,-1.1674930028,1.8593407081,False,0,0,7,0,0,True,False
0.25,11.0,lock-in,False,0.2181056889,-1.1937491817,1.8758915712,False,0,0,7,0,0,True,False
0.25,11.25,unresolved,True,0.2139606517,-1.2193158115,1.8920417764,False,0,0,1,0,6,True,False
0.25,11.5,oscillation,False,0.2099944865,-1.2442260161,1.9078132247,False,0,0,0,7,0,True,False
0.25,11.75,oscillation,False,0.2061953078,-1.2685107221,1.9232259335,False,0,0,0,7,0,True,False
0.25,12.0,oscillation,False,0.2025522808,-1.2921988348,1.9382982522,False,0,0,0,7,0,False,False
0.25,12.25,oscillation,False,0.1990555070,-1.3153173999,1.9530470483,False,0,0,0,7,0,False,False
0.25,12.5,oscillation,False,0.1956959241,-1.3378917497,1.9674878673,False,0,0,0,7,0,False,False
0.25,12.75,oscillation,False,0.1924652192,-1.3599456379,1.9816350724,False,0,0,0,7,0,False,False
0.25,13.0,oscillation,False,0.1893557520,-1.3815013606,1.9955019654,False,0,0,0,7,0,False,False
0.25,13.25,oscillation,False,0.1863604873,-1.4025798685,2.0091008927,False,0,0,0,7,0,False,False
0.25,13.5,oscillation,False,0.1834729358,-1.4232008677,2.0224433383,False,0,0,0,7,0,False,False
0.25,13.75,oscillation,False,0.1806871019,-1.4433829127,2.0355400051,False,0,0,0,7,0,False,False
0.25,14.0,oscillation,False,0.1779974365,-1.4631434911,2.0484008875,False,0,0,0,7,0,False,False
0.5,0.0,equilibrium,False,0.9885018862,0.0454636288,0.0000000000,True,0,7,0,0,0,False,False
0.5,0.25,equilibrium,False,0.9851425443,0.0548876688,0.0036591779,True,0,7,0,0,0,False,False
0.5,0.5,equilibrium,False,0.9807867241,0.0659544409,0.0094220630,True,0,7,0,0,0,False,False
0.5,0.75,equilibrium,False,0.9751369482,0.0787958616,0.0181836604,True,0,7,0,0,0,False,False
0.5,1.0,equilibrium,False,0.9678117202,0.0934565832,0.0311521944,True,0,7,0,0,0,False,False
0.5,1.25,equilibrium,False,0.9583298546,0.1098177970,0.0499171805,True,0,7,0,0,0,False,False
0.5,1.5,equilibrium,False,0.9461018823,0.1274827766,0.0764896659,True,0,7,0,0,0,False,False
0.5,1.75,equilibrium,False,0.9304416739,0.1456199221,0.1132599394,True,0,7,0,0,0,False,False
0.5,2.0,equilibrium,False,0.9106210944,0.1627806337,0.1627806337,True,0,7,0,0,0,False,False
0.5,2.25,equilibrium,False,0.8859977299,0.1767600669,0.2272629431,True,0,7,0,0,0,False,False
0.5,2.5,equilibrium,False,0.8562331356,0.1846469296,0.3077448827,True,0,7,0,0,0,False,False
0.5,2.75,equilibrium,False,0.8215595402,0.1832493276,0.4031485208,True,0,7,0,0,0,False,False
